,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Lufilufi,WS,-13.8745,-171.5986,76.78,74,62,8.21,broken clouds
338,Cockburn Town,TC,21.4612,-71.1419,80.56,61,40,16.11,scattered clouds
339,Lorengau,PG,-2.0226,147.2712,79.27,82,100,6.89,overcast clouds
340,General Roca,AR,-39.0333,-67.5833,92.62,8,1,16.73,clear sky
341,Rio Bueno,CL,-40.3167,-72.9667,71.11,35,51,6.91,broken clouds
342,Vytegra,RU,61.0064,36.4481,18.1,93,100,11.77,light snow
343,Concepcion Del Uruguay,AR,-32.4825,-58.2372,99.99,24,0,1.01,clear sky
344,Tabuk,PH,17.4189,121.4443,69.78,90,100,6.89,overcast clouds
345,Prince Albert,CA,53.2001,-105.7677,6.75,85,75,4.61,broken clouds
346,Carupano,VE,10.6678,-63.2585,81.55,73,9,12.15,light rain
347,Grand Baie,MU,-20.0182,57.5802,77.47,70,92,4.43,overcast clouds
