City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
21,Blagoyevo,RU,2022-12-30 16:01:59,63.3667,47.9167,6.64,97,78,5.39
22,Ruwi,OM,2022-12-30 16:01:59,23.5996,58.5507,71.67,55,0,5.37
23,Rikitea,PF,2022-12-30 16:01:59,-23.1203,-134.9692,76.51,73,39,4.34
24,Pochutla,MX,2022-12-30 16:02:00,15.7432,-96.4661,82.81,46,100,4.72
25,Curup,ID,2022-12-30 16:02:00,-3.4667,102.5333,67.01,97,100,1.74
26,Atuona,PF,2022-12-30 16:02:01,-9.8,-139.0333,77.68,72,21,18.43
27,Saskylakh,RU,2022-12-30 16:02:01,71.9167,114.0833,-1.1,83,97,24.43
28,Kutum,SD,2022-12-30 16:02:01,14.2,24.6667,67.35,20,0,7.67
29,Ushuaia,AR,2022-12-30 16:02:02,-54.8,-68.3,46.06,76,75,27.63
30,Hasaki,JP,2022-12-30 16:02:02,35.7333,140.8333,28.8,40,4,5.19
31,Olinda,BR,2022-12-30 15:59:42,-8.0089,-34.8553,83.93,65,75,10.36
32,Dikson,RU,2022-12-30 16:02:03,73.5069,80.5464,-10.19,93,100,22.26
33,Hilo,US,2022-12-30 16:01:02,19.7297,-155.09,69.24,86,65,4.0
34,Hermanus,ZA,2022-12-30 16:02:06,-34.4187,19.2345,74.8,54,0,21.39
35,Chingirlau,KZ,2022-12-30 16:02:06,51.095,54.0814,24.93,97,95,8.16
36,Vagur,FO,2022-12-30 16:02:07,61.4732,-6.8119,33.84,65,100,36.01
37,Mount Gambier,AU,2022-12-30 16:02:07,-37.8333,140.7667,56.41,94,57,4.05
38,Bredasdorp,ZA,2022-12-30 16:02:08,-34.5322,20.0403,68.11,55,0,19.64
39,Castro,BR,2022-12-30 16:02:08,-24.7911,-50.0119,75.58,58,69,3.56
40,Tilichiki,RU,2022-12-30 16:02:09,60.4667,166.1,-19.48,96,80,11.81
41,Moose Factory,CA,2022-12-30 16:02:10,51.2585,-80.6094,33.78,100,100,3.44
42,Kushiro,JP,2022-12-30 16:02:10,42.975,144.3747,25.48,80,82,3.83
43,Miaoli,TW,2022-12-30 16:01:51,24.5643,120.8237,63.95,81,37,20.15
44,Codrington,AU,2022-12-30 16:03:11,-38.2667,141.9667,56.37,93,73,3.36
45,Sibu,MY,2022-12-30 15:59:28,2.3,111.8167,77.31,88,40,1.14
46,Hithadhoo,MV,2022-12-30 16:03:12,-0.6,73.0833,80.71,73,5,5.82
47,Lata,PT,2022-12-30 16:03:12,40.1629,-8.3327,61.07,82,100,8.28
48,Awbari,LY,2022-12-30 16:03:13,26.5921,12.7805,62.2,26,0,7.92
49,Ilhabela,BR,2022-12-30 16:03:13,-23.7781,-45.3581,74.01,87,100,4.12
50,Chuy,UY,2022-12-30 16:03:14,-33.6971,-53.4616,86.05,29,0,5.12
51,Umm Lajj,SA,2022-12-30 16:03:14,25.0213,37.2685,74.14,50,1,13.29
52,Taoudenni,ML,2022-12-30 16:03:15,22.6783,-3.9836,80.06,15,100,14.5
53,Bethel,US,2022-12-30 16:02:27,41.3712,-73.414,55.72,51,4,1.99
54,Port Antonio,JM,2022-12-30 16:03:16,18.18,-76.4612,86.0,64,2,6.76
55,Esperance,AU,2022-12-30 16:03:16,-33.8667,121.9,69.1,63,0,22.77
56,Bluff,NZ,2022-12-30 16:01:18,-46.6,168.3333,49.23,78,21,5.82
57,Pisco,PE,2022-12-30 16:03:17,-13.7,-76.2167,74.98,70,100,10.07
58,Brae,GB,2022-12-30 16:03:17,60.3964,-1.353,40.12,96,100,12.93
59,Chokurdakh,RU,2022-12-30 16:03:18,70.6333,147.9167,-42.61,100,70,4.76
60,Severo-Kurilsk,RU,2022-12-30 16:03:18,50.6789,156.125,24.19,80,100,21.32
61,Yellowknife,CA,2022-12-30 16:01:27,62.456,-114.3525,8.56,84,100,8.01
62,Sao Joao Da Barra,BR,2022-12-30 16:03:19,-21.6403,-41.0511,75.16,89,100,8.23
63,Cabo San Lucas,MX,2022-12-30 16:00:02,22.8909,-109.9124,71.51,72,13,4.45
64,Fuyu,CN,2022-12-30 16:03:19,45.1833,124.8167,11.37,73,1,13.71
65,Cayenne,GF,2022-12-30 15:59:49,4.9333,-52.3333,84.24,65,20,9.22
66,Meulaboh,ID,2022-12-30 16:03:20,4.1363,96.1285,77.54,83,100,2.21
67,Yulara,AU,2022-12-30 16:03:20,-25.2406,130.9889,80.91,40,89,16.22
68,Port Alfred,ZA,2022-12-30 16:03:21,-33.5906,26.891,70.18,67,38,5.99
69,Broome,US,2022-12-30 16:01:33,42.2506,-75.833,46.65,73,100,1.01
70,Xining,CN,2022-12-30 16:00:14,36.6167,101.7667,20.57,24,10,0.74
71,Kavieng,PG,2022-12-30 16:03:22,-2.5744,150.7967,80.64,74,100,3.13
72,Tuatapere,NZ,2022-12-30 16:03:23,-46.1333,167.6833,43.9,93,17,3.31
73,Lagoa,PT,2022-12-30 16:03:23,39.05,-27.9833,57.52,74,100,32.46
74,Araouane,ML,2022-12-30 16:03:24,18.9048,-3.5265,80.69,9,100,12.28
75,Starokozache,UA,2022-12-30 16:03:24,46.3372,29.9853,42.78,73,7,7.76
76,Iralaya,HN,2022-12-30 16:03:25,15.0,-83.2333,78.71,84,31,13.35
77,Tombouctou,ML,2022-12-30 16:03:25,20.0,-3.0,81.19,10,100,11.25
78,Kamariotissa,GR,2022-12-30 16:03:26,40.4833,25.4667,56.79,73,74,7.02
79,Cidreira,BR,2022-12-30 16:03:26,-30.1811,-50.2056,76.26,59,0,13.67
80,Kapaa,US,2022-12-30 16:03:27,22.0752,-159.319,67.98,69,64,6.04
81,Qaanaaq,GL,2022-12-30 16:03:27,77.484,-69.3632,-23.6,69,11,7.07
82,Nuuk,GL,2022-12-30 16:02:18,64.1835,-51.7216,18.21,62,40,13.8
83,Carnarvon,AU,2022-12-30 16:03:28,-24.8667,113.6333,74.77,71,0,23.78
84,Hohhot,CN,2022-12-30 16:03:28,40.8106,111.6522,11.34,50,0,1.05
85,Butaritari,KI,2022-12-30 16:03:29,3.0707,172.7902,80.35,78,90,12.62
86,Faanui,PF,2022-12-30 16:03:29,-16.4833,-151.75,80.1,77,38,13.73
87,Vardo,NO,2022-12-30 16:03:30,70.3705,31.1107,26.58,80,75,18.41
88,Kharp,RU,2022-12-30 16:03:30,66.8014,65.8081,-17.25,100,100,0.76
89,Yerbogachen,RU,2022-12-30 16:03:31,61.2767,108.0108,-23.87,97,79,4.34
90,Lompoc,US,2022-12-30 16:01:52,34.6391,-120.4579,56.84,96,100,4.61
91,Tuktoyaktuk,CA,2022-12-30 16:03:31,69.4541,-133.0374,-0.38,96,99,7.81
92,Kaohsiung,TW,2022-12-30 16:04:32,22.6163,120.3133,62.55,88,75,4.61
93,Koster,ZA,2022-12-30 16:04:33,-25.863,26.8976,64.69,80,100,8.84
94,Laguna,US,2022-12-30 15:59:44,38.421,-121.4238,55.18,96,100,17.27
95,Houma,US,2022-12-30 16:04:33,29.5958,-90.7195,69.01,100,75,9.22
96,Victoria,HK,2022-12-30 16:03:21,22.2855,114.1577,59.25,66,94,11.01
97,Saint-Pierre,RE,2022-12-30 16:04:34,-21.3393,55.4781,80.28,74,16,6.91
98,Kahului,US,2022-12-30 16:04:35,20.8947,-156.47,73.85,83,0,4.61
99,Namibe,AO,2022-12-30 16:04:41,-15.1961,12.1522,75.49,74,99,10.36
100,Tasiilaq,GL,2022-12-30 16:04:42,65.6145,-37.6368,6.96,58,0,4.76
101,Inirida,CO,2022-12-30 16:04:43,3.8653,-67.9239,93.61,44,10,0.45
102,Harur,IN,2022-12-30 16:04:43,12.0667,78.5,70.18,75,5,2.35
103,San Juan De Las Huertas,MX,2022-12-30 16:04:43,19.2464,-99.7606,48.45,55,100,2.73
104,Provideniya,RU,2022-12-30 16:04:44,64.3833,-173.3,-3.44,81,100,11.1
105,Jamestown,US,2022-12-30 16:04:44,42.097,-79.2353,54.99,47,100,11.5
106,Souillac,MU,2022-12-30 16:04:45,-20.5167,57.5167,78.08,69,39,5.08
107,Hit,IQ,2022-12-30 16:04:45,33.6416,42.8251,55.58,54,0,5.32
108,Metro,ID,2022-12-30 16:04:46,-5.1131,105.3067,74.84,92,99,5.88
109,Coahuayana,MX,2022-12-30 16:04:46,18.7333,-103.6833,79.48,46,100,2.44
